id,source,target,type,category,strength,last_verified,data_volume,criticality
dep_001,vnd_authentication_okta,vnd_payment_braintree,depends_on,authentication,0.772140669113829,2025-12-05,low,medium
dep_002,vnd_authentication_okta,vnd_payment_adyen,depends_on,authentication,0.31757856583899025,2025-03-25,high,medium
dep_003,vnd_authentication_okta,vnd_data_snowflake,depends_on,authentication,0.8887923336213304,2025-07-02,low,medium
dep_004,vnd_authentication_okta,vnd_api_sendgrid,depends_on,authentication,0.6801820654496172,2025-05-04,medium,medium
dep_005,vnd_authentication_okta,vnd_infrastructure_netlify,depends_on,authentication,0.8723894866610171,2025-07-02,low,high
dep_006,vnd_authentication_auth0,vnd_payment_adyen,depends_on,authentication,0.6455153457479652,2025-06-30,low,medium
dep_007,vnd_authentication_auth0,vnd_data_snowflake,depends_on,authentication,0.3959038536672518,2025-09-24,high,medium
dep_008,vnd_authentication_auth0,vnd_api_hubspot_api,depends_on,authentication,0.4564440926639579,2025-08-17,high,low
dep_009,vnd_authentication_auth0,vnd_api_zendesk_api,depends_on,authentication,0.5766512329843965,2025-09-17,medium,medium
dep_010,vnd_authentication_auth0,vnd_api_github_api,depends_on,authentication,0.7616534557274772,2025-02-27,high,medium
dep_011,vnd_authentication_auth0,vnd_infrastructure_fastly,depends_on,authentication,0.8558020943999449,2025-08-29,medium,medium
dep_012,vnd_authentication_microsoft_azure_ad,vnd_payment_paypal,depends_on,authentication,0.5365867902322436,2025-06-27,medium,high
dep_013,vnd_authentication_microsoft_azure_ad,vnd_data_snowflake,depends_on,authentication,0.6480523819745787,2025-08-31,low,medium
dep_014,vnd_authentication_microsoft_azure_ad,vnd_api_dropbox_api,depends_on,authentication,0.644295881084215,2025-10-12,low,low
dep_015,vnd_authentication_microsoft_azure_ad,vnd_infrastructure_heroku,depends_on,authentication,0.4395299933021042,2025-11-01,high,high
dep_016,vnd_authentication_ping_identity,vnd_payment_klarna,depends_on,authentication,0.4324529666892438,2025-10-29,medium,medium
dep_017,vnd_authentication_ping_identity,vnd_payment_square,depends_on,authentication,0.7546512299642414,2025-07-03,high,high
dep_018,vnd_authentication_ping_identity,vnd_payment_braintree,depends_on,authentication,0.2509424699229626,2025-09-14,low,medium
dep_019,vnd_authentication_ping_identity,vnd_data_redis_cloud,depends_on,authentication,0.754002214151685,2025-11-27,low,medium
dep_020,vnd_authentication_ping_identity,vnd_api_twilio,depends_on,authentication,0.37789049461824065,2025-04-11,medium,medium
dep_021,vnd_authentication_ping_identity,vnd_infrastructure_azure_vms,depends_on,authentication,0.716849059387404,2025-02-18,high,medium
dep_022,vnd_authentication_ping_identity,vnd_infrastructure_netlify,depends_on,authentication,0.6892995859092187,2024-12-29,low,low
dep_023,vnd_authentication_onelogin,vnd_payment_klarna,depends_on,authentication,0.5963667329985419,2025-11-20,low,low
dep_024,vnd_authentication_onelogin,vnd_data_azure_blob,depends_on,authentication,0.46815639211930415,2025-09-06,high,high
dep_025,vnd_authentication_onelogin,vnd_api_mailgun,depends_on,authentication,0.8043192787201308,2025-06-18,low,high
dep_026,vnd_authentication_onelogin,vnd_infrastructure_heroku,depends_on,authentication,0.8343449048836481,2025-07-04,low,high
dep_027,vnd_authentication_onelogin,vnd_infrastructure_aws_ec2,depends_on,authentication,0.7597958519927864,2025-07-16,low,medium
dep_028,vnd_payment_stripe,vnd_data_cassandra,integrates_with,data_flow,0.6481566225053559,2025-03-23,medium,low
dep_029,vnd_payment_stripe,vnd_data_aws_s3,integrates_with,data_flow,0.7679193731335322,2025-11-17,high,medium
dep_030,vnd_payment_stripe,vnd_api_zendesk_api,integrates_with,data_flow,0.44764040677373745,2025-01-16,low,high
dep_031,vnd_payment_stripe,vnd_api_mailgun,integrates_with,data_flow,0.4753902433449862,2025-07-17,low,high
dep_032,vnd_payment_stripe,vnd_api_docusign_api,integrates_with,data_flow,0.3898553558880353,2025-05-07,high,low
dep_033,vnd_payment_paypal,vnd_data_aws_s3,integrates_with,data_flow,0.7178445181751006,2025-03-26,low,high
dep_034,vnd_payment_paypal,vnd_api_hubspot_api,integrates_with,data_flow,0.5050437060207011,2025-05-16,low,medium
dep_035,vnd_payment_square,vnd_api_intercom_api,integrates_with,data_flow,0.7826827424223837,2025-01-08,low,medium
dep_036,vnd_payment_square,vnd_api_shopify_api,integrates_with,data_flow,0.7992596815928797,2025-01-27,low,high
dep_037,vnd_payment_adyen,vnd_data_aws_s3,integrates_with,data_flow,0.5890096893283703,2025-02-11,medium,high
dep_038,vnd_payment_adyen,vnd_data_google_cloud_storage,integrates_with,data_flow,0.5963095998929573,2025-02-08,low,low
dep_039,vnd_payment_adyen,vnd_data_elasticsearch_cloud,integrates_with,data_flow,0.6012583945608635,2025-02-10,low,high
dep_040,vnd_payment_adyen,vnd_api_mailgun,integrates_with,data_flow,0.7278359933507696,2025-08-18,high,low
dep_041,vnd_payment_adyen,vnd_api_intercom_api,integrates_with,data_flow,0.48529427599189523,2025-07-14,low,high
dep_042,vnd_payment_braintree,vnd_data_azure_blob,integrates_with,data_flow,0.7983103567223335,2025-05-18,medium,low
dep_043,vnd_payment_braintree,vnd_api_salesforce_api,integrates_with,data_flow,0.34321749944109436,2025-09-17,low,medium
dep_044,vnd_payment_klarna,vnd_data_databricks,integrates_with,data_flow,0.5701566815490792,2025-09-14,low,medium
dep_045,vnd_payment_klarna,vnd_api_dropbox_api,integrates_with,data_flow,0.7125856123491523,2025-07-19,medium,low
dep_046,vnd_payment_klarna,vnd_api_github_api,integrates_with,data_flow,0.5588976375392077,2025-04-01,low,low
dep_047,vnd_payment_worldpay,vnd_api_sendgrid,integrates_with,data_flow,0.946452480811556,2025-10-06,medium,medium
dep_048,vnd_payment_authorizenet,vnd_data_cassandra,integrates_with,data_flow,0.40988033398864787,2025-11-25,high,high
dep_049,vnd_payment_authorizenet,vnd_data_mongodb_atlas,integrates_with,data_flow,0.6353977021644002,2025-12-12,high,medium
dep_050,vnd_payment_authorizenet,vnd_data_google_cloud_storage,integrates_with,data_flow,0.4617378019995682,2025-05-23,high,low
dep_051,vnd_payment_authorizenet,vnd_api_zendesk_api,integrates_with,data_flow,0.5476053611609943,2025-08-27,high,low
dep_052,vnd_data_google_cloud_storage,vnd_infrastructure_fastly,depends_on,infrastructure,0.5256198764783957,2025-03-13,medium,medium
dep_053,vnd_data_mongodb_atlas,vnd_infrastructure_digitalocean,depends_on,infrastructure,0.5270780704166355,2025-09-25,low,low
dep_054,vnd_data_postgresql_cloud,vnd_infrastructure_cloudflare,depends_on,infrastructure,0.9356995933580105,2025-03-07,low,medium
dep_055,vnd_data_redis_cloud,vnd_infrastructure_heroku,depends_on,infrastructure,0.7789303565208983,2025-07-15,high,high
dep_056,vnd_data_elasticsearch_cloud,vnd_infrastructure_heroku,depends_on,infrastructure,0.6341550219196198,2025-06-20,low,low
dep_057,vnd_data_elasticsearch_cloud,vnd_infrastructure_aws_ec2,depends_on,infrastructure,0.9027269333193311,2025-06-21,medium,high
dep_058,vnd_data_elasticsearch_cloud,vnd_infrastructure_linode,depends_on,infrastructure,0.47004963613821604,2025-12-05,medium,medium
dep_059,vnd_data_databricks,vnd_infrastructure_cloudflare,depends_on,infrastructure,0.8737245082174772,2025-11-25,low,high
dep_060,vnd_data_bigquery,vnd_infrastructure_digitalocean,depends_on,infrastructure,0.748273182630809,2025-05-07,medium,medium
dep_061,vnd_data_cassandra,vnd_infrastructure_vercel,depends_on,infrastructure,0.719913667678192,2025-05-15,medium,medium
dep_062,vnd_api_twilio,vnd_authentication_ping_identity,integrates_with,api_call,0.5667976502157869,2025-04-04,low,high
dep_063,vnd_api_twilio,vnd_infrastructure_digitalocean,integrates_with,api_call,0.7547711926546231,2025-08-26,low,medium
dep_064,vnd_api_sendgrid,vnd_data_redis_cloud,integrates_with,api_call,0.7444635697801025,2025-08-13,medium,high
dep_065,vnd_api_sendgrid,vnd_authentication_onelogin,integrates_with,api_call,1.0,2025-12-10,low,medium
dep_066,vnd_api_sendgrid,vnd_infrastructure_fastly,integrates_with,api_call,0.584179080310557,2025-06-06,medium,high
dep_067,vnd_api_mailgun,vnd_data_aws_s3,integrates_with,api_call,0.8617110933707712,2025-05-15,low,low
dep_068,vnd_api_mailgun,vnd_infrastructure_heroku,integrates_with,api_call,0.6702515592520738,2025-08-24,low,medium
dep_069,vnd_api_mailgun,vnd_infrastructure_cloudflare,integrates_with,api_call,0.7747759907323089,2025-02-03,low,high
dep_070,vnd_api_slack_api,vnd_authentication_okta,integrates_with,api_call,0.5389025967230211,2025-12-21,high,medium
dep_071,vnd_api_slack_api,vnd_authentication_ping_identity,integrates_with,api_call,0.6774552488771887,2025-11-27,low,medium
dep_072,vnd_api_slack_api,vnd_authentication_auth0,integrates_with,api_call,0.5796743486138988,2025-01-05,medium,high
dep_073,vnd_api_github_api,vnd_authentication_ping_identity,integrates_with,api_call,0.5955112624529348,2025-06-24,low,medium
dep_074,vnd_api_google_maps,vnd_data_redshift,integrates_with,api_call,0.6898794666383682,2025-10-07,high,medium
dep_075,vnd_api_google_maps,vnd_authentication_auth0,integrates_with,api_call,0.33625308237436585,2025-11-12,low,low
dep_076,vnd_api_google_maps,vnd_infrastructure_fastly,integrates_with,api_call,0.4524631495331387,2025-03-09,low,medium
dep_077,vnd_api_zoom_api,vnd_infrastructure_digitalocean,integrates_with,api_call,0.8599340634656176,2025-10-13,low,high
dep_078,vnd_api_salesforce_api,vnd_data_google_cloud_storage,integrates_with,api_call,0.7093287246106869,2025-03-09,low,low
dep_079,vnd_api_salesforce_api,vnd_data_redshift,integrates_with,api_call,0.6898211478633027,2025-08-07,high,high
dep_080,vnd_api_salesforce_api,vnd_authentication_okta,integrates_with,api_call,0.545882602246684,2025-12-02,low,high
dep_081,vnd_api_salesforce_api,vnd_authentication_onelogin,integrates_with,api_call,1.0,2025-10-29,low,high
dep_082,vnd_api_salesforce_api,vnd_infrastructure_aws_ec2,integrates_with,api_call,0.8644744052812882,2025-01-11,low,medium
dep_083,vnd_api_hubspot_api,vnd_data_redis_cloud,integrates_with,api_call,0.24223559778741294,2025-11-11,high,high
dep_084,vnd_api_hubspot_api,vnd_data_google_cloud_storage,integrates_with,api_call,0.4590482852563794,2025-12-11,medium,medium
dep_085,vnd_api_hubspot_api,vnd_authentication_okta,integrates_with,api_call,1.0,2025-03-20,high,medium
dep_086,vnd_api_hubspot_api,vnd_infrastructure_heroku,integrates_with,api_call,0.6506941912672725,2025-06-17,medium,medium
dep_087,vnd_api_intercom_api,vnd_data_snowflake,integrates_with,api_call,0.6003083128208934,2025-01-13,low,medium
dep_088,vnd_api_intercom_api,vnd_infrastructure_digitalocean,integrates_with,api_call,0.4365512895797389,2025-01-23,low,low
dep_089,vnd_api_shopify_api,vnd_authentication_onelogin,integrates_with,api_call,0.6286366409653227,2025-07-07,medium,medium
dep_090,vnd_api_shopify_api,vnd_authentication_auth0,integrates_with,api_call,0.7569068695437298,2025-10-23,medium,medium
dep_091,vnd_api_shopify_api,vnd_infrastructure_aws_ec2,integrates_with,api_call,1.0,2025-09-02,low,medium
dep_092,vnd_api_docusign_api,vnd_data_google_cloud_storage,integrates_with,api_call,0.5901125906985001,2025-02-18,medium,medium
dep_093,vnd_api_docusign_api,vnd_authentication_okta,integrates_with,api_call,0.7626792802795724,2025-01-12,low,high
dep_094,vnd_api_docusign_api,vnd_authentication_ping_identity,integrates_with,api_call,0.5151360604918164,2025-07-21,medium,low
dep_095,vnd_api_docusign_api,vnd_infrastructure_netlify,integrates_with,api_call,0.7123029191047913,2025-09-21,medium,low
dep_096,vnd_api_docusign_api,vnd_infrastructure_vercel,integrates_with,api_call,0.6608139961780991,2025-07-03,high,medium
dep_097,vnd_api_adobe_api,vnd_authentication_ping_identity,integrates_with,api_call,0.5873060165243432,2025-05-14,low,high
dep_098,vnd_api_dropbox_api,vnd_authentication_microsoft_azure_ad,integrates_with,api_call,0.77789024044968,2025-03-20,high,medium
dep_099,vnd_api_dropbox_api,vnd_authentication_onelogin,integrates_with,api_call,0.908234132451909,2025-07-26,low,high
dep_100,vnd_api_dropbox_api,vnd_infrastructure_heroku,integrates_with,api_call,0.5607228906681849,2025-09-18,medium,low
dep_101,vnd_api_dropbox_api,vnd_infrastructure_azure_vms,integrates_with,api_call,0.7266297493477246,2025-07-09,high,high
dep_102,vnd_infrastructure_google_compute,vnd_data_redshift,supplies,infrastructure,0.5057856225705054,2024-12-30,high,low
dep_103,vnd_infrastructure_azure_vms,vnd_data_bigquery,supplies,infrastructure,0.693112982691857,2025-06-13,low,medium
dep_104,vnd_infrastructure_digitalocean,vnd_data_elasticsearch_cloud,supplies,infrastructure,0.6662674014169445,2025-05-22,medium,medium
dep_105,vnd_infrastructure_azure_vms,vnd_api_shopify_api,integrates_with,cross_category,0.5658982158845707,2025-07-30,high,medium
dep_106,vnd_data_cassandra,vnd_payment_adyen,integrates_with,cross_category,0.6019434699773071,2025-08-15,medium,medium
dep_107,vnd_infrastructure_google_compute,vnd_payment_paypal,integrates_with,cross_category,0.6465997161844171,2025-06-17,medium,high
dep_108,vnd_api_intercom_api,vnd_infrastructure_vercel,integrates_with,cross_category,0.790341168069234,2025-11-16,medium,high
dep_109,vnd_authentication_microsoft_azure_ad,vnd_infrastructure_cloudflare,integrates_with,cross_category,0.7503982152157165,2025-12-07,medium,high
dep_110,vnd_infrastructure_google_compute,vnd_data_mongodb_atlas,integrates_with,cross_category,0.7630365102749405,2025-04-07,low,high
dep_111,vnd_api_salesforce_api,vnd_payment_authorizenet,integrates_with,cross_category,0.314527872820765,2025-12-20,medium,low
dep_112,vnd_api_hubspot_api,vnd_authentication_microsoft_azure_ad,integrates_with,cross_category,0.41626109920256027,2025-03-08,medium,low
dep_113,vnd_data_databricks,vnd_authentication_auth0,integrates_with,cross_category,0.2324167064378213,2025-10-15,low,medium
dep_114,vnd_api_github_api,vnd_authentication_onelogin,integrates_with,cross_category,0.9349789046727086,2025-12-22,medium,medium
dep_115,vnd_infrastructure_cloudflare,vnd_authentication_auth0,integrates_with,cross_category,0.8059892016990702,2025-08-05,low,high
